Path:, Modules:
C:\Users\rutan\OneDrive\Desktop\Repos\Python\DynamicETLDashboard\setup.py, setuptools
C:\Users\rutan\OneDrive\Desktop\Repos\Python\DynamicETLDashboard\DynamicETLDashboard\DynamicETL_Dashboard\Temp.py, ETL,json,Logging,os,re,Tables,Utilities
C:\Users\rutan\OneDrive\Desktop\Repos\Python\DynamicETLDashboard\DynamicETLDashboard\DynamicETL_Dashboard\Columns\ColumnAttribute.py, Columns,copy,dateutil,decimal,numpy ,pandas,re,sortedcontainers
C:\Users\rutan\OneDrive\Desktop\Repos\Python\DynamicETLDashboard\DynamicETLDashboard\DynamicETL_Dashboard\Columns\ColumnAttributes.py, Columns,datetime,os,pandas,sortedcontainers
C:\Users\rutan\OneDrive\Desktop\Repos\Python\DynamicETLDashboard\DynamicETLDashboard\DynamicETL_Dashboard\Columns\ColumnMapper.py, Columns,pandas
C:\Users\rutan\OneDrive\Desktop\Repos\Python\DynamicETLDashboard\DynamicETLDashboard\DynamicETL_Dashboard\Columns\ColumnRelationships.py, abc,enum,itertools,numpy ,pandas,sortedcontainers
C:\Users\rutan\OneDrive\Desktop\Repos\Python\DynamicETLDashboard\DynamicETLDashboard\DynamicETL_Dashboard\Columns\DataColumnAttributes.py, Columns,copy,csv,datetime,dateutil,operator,os,pandas,re,sortedcontainers,string,Utilities,xlsxwriter
C:\Users\rutan\OneDrive\Desktop\Repos\Python\DynamicETLDashboard\DynamicETLDashboard\DynamicETL_Dashboard\ETL\DataComparer.py, os,pandas,xlsxwriter
C:\Users\rutan\OneDrive\Desktop\Repos\Python\DynamicETLDashboard\DynamicETLDashboard\DynamicETL_Dashboard\ETL\DataReader.py, dateutil,DynamicETL_Dashboard,numpy ,os,pandas,re
C:\Users\rutan\OneDrive\Desktop\Repos\Python\DynamicETLDashboard\DynamicETLDashboard\DynamicETL_Dashboard\ETL\ETLInfo.py, json,os,Utilities,xlsxwriter
C:\Users\rutan\OneDrive\Desktop\Repos\Python\DynamicETLDashboard\DynamicETLDashboard\DynamicETL_Dashboard\ETL\ETLJobLoader.py, ctypes,datetime,enum,json,os,pandas,re,requests,signal,subprocess,threading,time
C:\Users\rutan\OneDrive\Desktop\Repos\Python\DynamicETLDashboard\DynamicETLDashboard\DynamicETL_Dashboard\ETL\ETLObj.py, abc,copy,json,os,re
C:\Users\rutan\OneDrive\Desktop\Repos\Python\DynamicETLDashboard\DynamicETLDashboard\DynamicETL_Dashboard\ETL\FileTransferConfig.py, bs4,datetime,dateutil,Filepaths,os,Utilities
C:\Users\rutan\OneDrive\Desktop\Repos\Python\DynamicETLDashboard\DynamicETLDashboard\DynamicETL_Dashboard\ETL\GenerateFTSPaths.py, bs4,json,re
C:\Users\rutan\OneDrive\Desktop\Repos\Python\DynamicETLDashboard\DynamicETLDashboard\DynamicETL_Dashboard\ETL\LocalLargeDataJobPoster.py, clr,copy,os,re,requests,shutil,subprocess,time,Utilities
C:\Users\rutan\OneDrive\Desktop\Repos\Python\DynamicETLDashboard\DynamicETLDashboard\DynamicETL_Dashboard\ETL\NewETLAppender.py, copy,ETL,json,os,Utilities
C:\Users\rutan\OneDrive\Desktop\Repos\Python\DynamicETLDashboard\DynamicETLDashboard\DynamicETL_Dashboard\ETL\PostArgsFactory.py, json,os
C:\Users\rutan\OneDrive\Desktop\Repos\Python\DynamicETLDashboard\DynamicETLDashboard\DynamicETL_Dashboard\ETL\SampleFilePuller.py, os,re,Utilities
C:\Users\rutan\OneDrive\Desktop\Repos\Python\DynamicETLDashboard\DynamicETLDashboard\DynamicETL_Dashboard\Exceptions\CustomExceptions.py, Exceptions
C:\Users\rutan\OneDrive\Desktop\Repos\Python\DynamicETLDashboard\DynamicETLDashboard\DynamicETL_Dashboard\Exceptions\ETLDashboardExcept.py, abc,datetime,sys,Utilities
C:\Users\rutan\OneDrive\Desktop\Repos\Python\DynamicETLDashboard\DynamicETLDashboard\DynamicETL_Dashboard\Exceptions\ExceptionAggregator.py, datetime,Exceptions,LogFile,sys
C:\Users\rutan\OneDrive\Desktop\Repos\Python\DynamicETLDashboard\DynamicETLDashboard\DynamicETL_Dashboard\Exceptions\ExceptionContainerType.py, abc,datetime,Exceptions,sortedcontainers,sys
C:\Users\rutan\OneDrive\Desktop\Repos\Python\DynamicETLDashboard\DynamicETLDashboard\DynamicETL_Dashboard\Exceptions\Fatal.py, abc,datetime,Exceptions,sortedcontainers,sys
C:\Users\rutan\OneDrive\Desktop\Repos\Python\DynamicETLDashboard\DynamicETLDashboard\DynamicETL_Dashboard\Exceptions\LogFile.py, DirectoryTypes,Exceptions,getpass,os,sortedcontainers
C:\Users\rutan\OneDrive\Desktop\Repos\Python\DynamicETLDashboard\DynamicETLDashboard\DynamicETL_Dashboard\Exceptions\NonFatal.py, abc,datetime,DirectoryTypes,Exceptions,sortedcontainers,sys,Utilities
C:\Users\rutan\OneDrive\Desktop\Repos\Python\DynamicETLDashboard\DynamicETLDashboard\DynamicETL_Dashboard\Filepaths\FileTransferDestination.py, bs4
C:\Users\rutan\OneDrive\Desktop\Repos\Python\DynamicETLDashboard\DynamicETLDashboard\DynamicETL_Dashboard\Filepaths\FileTransferServiceAggregator.py, bs4,ETL,json,os,re,selenium,time,Utilities
C:\Users\rutan\OneDrive\Desktop\Repos\Python\DynamicETLDashboard\DynamicETLDashboard\DynamicETL_Dashboard\Filepaths\FileTransferSource.py, bs4
C:\Users\rutan\OneDrive\Desktop\Repos\Python\DynamicETLDashboard\DynamicETLDashboard\DynamicETL_Dashboard\GUI\ETLDashboard.py, GUI,tkinter
C:\Users\rutan\OneDrive\Desktop\Repos\Python\DynamicETLDashboard\DynamicETLDashboard\DynamicETL_Dashboard\GUI\ETLInfoWindow.py, GenerateETLInfo,GUI
C:\Users\rutan\OneDrive\Desktop\Repos\Python\DynamicETLDashboard\DynamicETLDashboard\DynamicETL_Dashboard\GUI\GenerateColumnAttributesReportWindow.py, GUI
C:\Users\rutan\OneDrive\Desktop\Repos\Python\DynamicETLDashboard\DynamicETLDashboard\DynamicETL_Dashboard\GUI\PullDataWindow.py, GUI
C:\Users\rutan\OneDrive\Desktop\Repos\Python\DynamicETLDashboard\DynamicETLDashboard\DynamicETL_Dashboard\GUI\ScriptWindow.py, abc,tkinter,tkinter 
C:\Users\rutan\OneDrive\Desktop\Repos\Python\DynamicETLDashboard\DynamicETLDashboard\DynamicETL_Dashboard\GUI\TestETLPipelineWindow.py, GUI
C:\Users\rutan\OneDrive\Desktop\Repos\Python\DynamicETLDashboard\DynamicETLDashboard\DynamicETL_Dashboard\Logging\AllLogReader.py, Logging,os,re
C:\Users\rutan\OneDrive\Desktop\Repos\Python\DynamicETLDashboard\DynamicETLDashboard\DynamicETL_Dashboard\Logging\DynamicETLServiceIssueParser.py, csv,datetime,dateutil,os,pandas,re,Utilities
